,confidence,word
0,<...> joke <...>,0.44839999079704285
1,<...> a <...>,0.45559999346733093
2,<...> joke <...>,0.45660001039505005
3,<...> a <...>,0.4426000118255615
4,<...> a <...>,0.4603999853134155
5,<...> a <...>,0.4417000114917755
6,<...> a <...>,0.444599986076355
7,<...> joke <...>,0.45320001244544983
8,<...> a <...>,0.4512999951839447
9,<...> joke <...>,0.45899999141693115
10,<...> joke <...>,0.44020000100135803
11,<...> a <...>,0.44839999079704285
12,<...> joke <...>,0.44699999690055847
13,<...> a <...>,0.4489000141620636
14,<...> a <...>,0.47099998593330383
15,<...> a <...>,0.45559999346733093
16,<...> a <...>,0.4512999951839447
17,<...> a <...>,0.450300008058548
18,<...> joke <...>,0.4584999978542328
19,<...> a <...>,0.44359999895095825
