,confidence,word
0,,-3.0
1,<...> time <...>,0.4925999939441681
2,<...> wrong <...>,0.5705000162124634
3,<...> cheer <...>,0.5364000201225281
4,<...> time <...>,0.5022000074386597
5,<...> cheer <...>,0.5031999945640564
6,<...> ten <...>,0.5662000179290771
7,<...> answer <...>,0.5960000157356262
8,<...> you <...>,0.5575000047683716
9,<...> you <...>,0.5142999887466431
10,<...> affirmative <...>,0.5771999955177307
11,<...> twenty <...>,0.5522000193595886
12,<...> ignoring <...>,0.5234000086784363
13,<...> cream <...>,0.5329999923706055
14,<...> cream <...>,0.49549999833106995
15,<...> time <...>,0.4984000027179718
16,<...> wrong <...>,0.569100022315979
17,<...> cheer <...>,0.5396999716758728
18,<...> time <...>,0.49939998984336853
19,<...> cheer <...>,0.501800000667572
20,<...> ten <...>,0.5257999897003174
21,<...> answer <...>,0.6435999870300293
22,<...> you <...>,0.5598999857902527
23,<...> you <...>,0.5133000016212463
24,<...> affirmative <...>,0.5820000171661377
25,<...> twenty <...>,0.5575000047683716
26,<...> ignoring <...>,0.5281999707221985
27,<...> cream <...>,0.5343999862670898
28,<...> game <...>,0.5037000179290771
29,<...> time <...>,0.49459999799728394
30,<...> wrong <...>,0.5723999738693237
31,<...> cheer <...>,0.5425999760627747
32,<...> time <...>,0.5031999945640564
33,<...> cheer <...>,0.507099986076355
34,<...> ten <...>,0.5257999897003174
35,<...> answer <...>,0.6276999711990356
36,<...> you <...>,0.5604000091552734
37,<...> you <...>,0.511900007724762
38,<...> affirmative <...>,0.5604000091552734
39,<...> one <...>,0.5555999875068665
40,<...> ignoring <...>,0.5238999724388123
41,<...> cream <...>,0.536899983882904
42,<...> game <...>,0.5041999816894531
43,<...> time <...>,0.490200012922287
44,<...> wrong <...>,0.5715000033378601
45,<...> cheer <...>,0.5436000227928162
46,<...> time <...>,0.5012999773025513
47,<...> cheer <...>,0.5008000135421753
48,<...> ten <...>,0.5325000286102295
49,<...> answer <...>,0.6334999799728394
