,confidence,mood,word
0,-3.0,-100,
1,0.5090000033378601,-80,<...> ignoring <...>
2,0.48829999566078186,-60,<...> ice <...>
3,0.4830000102519989,-40,<...> game <...>
4,0.48590001463890076,-20,<...> tired <...>
5,0.5224000215530396,0,<...> wrong <...>
6,0.5205000042915344,20,<...> cheer <...>
7,0.5037000179290771,40,<...> time <...>
8,0.4652000069618225,60,<...> a <...>
9,-3.0,60,
10,0.48489999771118164,80,<...> ten <...>
11,-3.0,80,
12,-3.0,80,
13,-3.0,80,
14,-3.0,80,
15,0.5310999751091003,100,<...> answer <...>
