,confidence,mood,word
0,-3.0,-100,
1,-3.0,-100,
2,-3.0,-100,
3,-3.0,-100,
4,-3.0,-100,
5,-3.0,-100,
6,-3.0,-100,
7,-3.0,-100,
8,-3.0,-100,
9,-3.0,-100,
10,-3.0,-100,
11,-3.0,-100,
12,-3.0,-100,
13,-3.0,-100,
14,-3.0,-100,
15,-3.0,-100,
16,-3.0,-100,
17,0.49459999799728394,-80,<...> me <...>
18,0.4964999854564667,-60,<...> cream <...>
19,0.4805999994277954,-40,<...> game <...>
20,0.47920000553131104,-20,<...> you <...>
21,-3.0,-20,
22,-3.0,-20,
23,0.48829999566078186,0,<...> is <...>
24,0.5133000016212463,20,<...> cheer <...>
25,0.48969998955726624,40,<...> with <...>
26,0.4580000042915344,60,<...> joke <...>
27,0.5220000147819519,80,<...> ten <...>
28,0.5238999724388123,100,<...> answer <...>
