,confidence,mood,word
0,-3.0,-100,
1,0.5185999870300293,-80,<...> ignoring <...>
2,0.5098999738693237,-60,<...> cream <...>
3,0.4869000017642975,-40,<...> game <...>
4,0.48590001463890076,-20,<...> you <...>
5,0.48010000586509705,0,<...> wrong <...>
6,-3.0,0,
7,-3.0,0,
8,-3.0,0,
9,0.5022000074386597,20,<...> cheer <...>
10,-3.0,20,
11,0.48159998655319214,40,<...> with <...>
12,0.4652000069618225,60,<...> a <...>
13,0.501800000667572,80,<...> ten <...>
14,0.5436000227928162,100,<...> answer <...>
